Chemblid	Drug	canonical	formula	max_phase	synonyms
CHEMBL1200443	MERETHOXYLLINE PROCAINE	-	-	4.0	Merethoxylline procaine;;;Procaine merethoxylline;;;Procaine merethoxylline
CHEMBL1200444	PIRBUTEROL ACETATE	CC(=O)O.CC(C)(C)NCC(O)c1ccc(O)c(CO)n1	C14H24N2O5	4.0	CP-24,314-14;;;CP-24314-14;;;Maxair;;;Pirbuterol acetate;;;Pirbuterol acetate;;;Pirbuterol acetate;;;Pirbuterol acetate
CHEMBL1200446	TRIPELENNAMINE HYDROCHLORIDE	CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl	C16H22ClN3	4.0	Pbz-sr;;;Tripelennamine chloride;;;Tripelennamine hydrochloride;;;Tripelennamine hydrochloride;;;Tripelennamine hydrochloride;;;Tripelennamine hydrochloride
CHEMBL1200448	TILUDRONATE DISODIUM	O=P([O-])(O)C(Sc1ccc(Cl)cc1)P(=O)([O-])O.[Na+].[Na+]	C7H7ClNa2O6P2S	4.0	Skelid;;;SR 41319B;;;SR-41319B;;;Tiludronate disodium;;;Tiludronate disodium;;;Tiludronate disodium
CHEMBL1200449	TRIAMCINOLONE DIACETATE	CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	C25H31FO8	4.0	Aristocort;;;Kenacort;;;Orion;;;Polcortolon;;;Tedarol;;;Triamcinolone 16,21-diacetate;;;Triamcinolone diacetate;;;Triamcinolone diacetate;;;Triamcinolone diacetate;;;Triamcinolone diacetate;;;Triamcinolone diacetate
CHEMBL1200452	INDIUM IN 111 OXYQUINOLINE	-	-	4.0	Indium in-111 oxyquinoline;;;Indium in 111 oxyquinoline;;;Indium in 111 oxyquinoline;;;Indium in 111 oxyquinoline;;;Indium in 111 oxyquinoline;;;Indium in-111 oxyquinoline;;;Indium In-111 Oxyquinoline;;;Indium oxine;;;Indium oxine in 111
CHEMBL1200453	DOCOSANOL	CCCCCCCCCCCCCCCCCCCCCCO	C22H46O	4.0	Abreva;;;Behenyl alcohol;;;Docosanol;;;Docosanol;;;Docosanol;;;Docosanol;;;Docosanol;;;Lidakol;;;N-docosanol;;;N-docosanol;;;NSC-8407
CHEMBL1200454	VALGANCICLOVIR HYDROCHLORIDE	CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21.Cl	C14H23ClN6O5	4.0	RO107-9070/194;;;RS-079070-194;;;RS-79070-194;;;Valcyte;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride;;;Valganciclovir hydrochloride
CHEMBL1200455	IOHEXOL	CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	C19H26I3N3O9	4.0	Exypaque;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Iohexol;;;Omnipaque;;;Omnipaque 12;;;Omnipaque 140;;;Omnipaque 180;;;Omnipaque 210;;;Omnipaque 240;;;Omnipaque 300;;;Omnipaque 350;;;Omnipaque 70;;;Omnipaque 9;;;Oraltag;;;WIN 39424;;;WIN-39424
CHEMBL1200457	GADOVERSETAMIDE	-	-	4.0	Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;Gadoversetamide;;;MP-1177;;;Optimark
CHEMBL1200458	POTASSIUM CITRATE	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]	C6H5K3O7	4.0	E332;;;E-332(II);;;INS-332(II);;;INS NO.332(II);;;Potassium citrate;;;Potassium Citrate;;;Potassium citrate monohydrate;;;Potassium citrate monohydrate;;;Urocit-K
CHEMBL1200459	POTASSIUM PHOSPHATE, DIBASIC	O=P([O-])([O-])O.[K+].[K+]	HK2O4P	4.0	Dibasic potassium phosphate;;;Dibasic potassium phosphate;;;E-340(II);;;INS-340(II);;;INS NO.340(II);;;Isolyte;;;Neutra-Phos;;;Potassium phosphate dibasic;;;Potassium phosphate, dibasic;;;Potassium phosphate, dibasic;;;Potassium phosphate, dibasic;;;Potassium phosphate, dibasic;;;Potassium phosphate, dibasic
CHEMBL1200460	FERRIC AMMONIUM CITRATE	-	-	4.0	Ferric ammonium citrate;;;Ferric ammonium citrate;;;Ferric ammonium citrate;;;Ferric ammonium citrate;;;Ferric ammonium citrate;;;Ferric ammonium citrate;;;Ferriseltz
CHEMBL1200461	MIDODRINE HYDROCHLORIDE	COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl	C12H19ClN2O4	4.0	A-4020 LINZ;;;Bramox;;;Gutron;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midodrine hydrochloride;;;Midon;;;Orvaten;;;Proamatine;;;ST-1085;;;ST 1085 [AS THE BASE];;;ST-1085 BASE;;;ST 1085 HYDROCHLORIDE;;;ST-1085 HYDROCHLORIDE;;;ST-PETER-224;;;ST. PETER 224
CHEMBL1200463	OXAPROZIN POTASSIUM	O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1.[K+]	C18H14KNO3	4.0	Daypro alta;;;Oxaprozin potassium;;;Oxaprozin potassium
CHEMBL1200464	PROPARACAINE HYDROCHLORIDE	CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl	C16H27ClN2O3	4.0	Alcaine;;;Kainair;;;Ophthaine;;;Ophthetic;;;Paracaine;;;Proparacaine hydrochloride;;;Proparacaine hydrochloride;;;Proparacaine hydrochloride;;;Proparacaine hydrochloride;;;Proparacaine hydrochloride;;;Proxymetacaine;;;Proxymetacaine hydrochloride
CHEMBL1200467	HYDROXYZINE PAMOATE	O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	C44H43ClN2O8	4.0	"Hydroxyzine pamoate;;;Hydroxyzine pamoate;;;Hydroxyzine pamoate;;;Hydroxyzine pamoate;;;Hy-pam;;;""hy-pam """"25"""""";;;Hy-Pam ""25"";;;Vistaril"
CHEMBL1200468	MALATHION	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	C10H19O6PS2	4.0	8059HC;;;Cythion;;;Derbac-m;;;ENT 17,034;;;ENT-17034;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;Malathion;;;NSC-6524;;;Organoderm;;;Ovide;;;OVIDE;;;Prioderm;;;Quellada-m;;;Suleo-m
CHEMBL1200469	PROMAZINE HYDROCHLORIDE	CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl	C17H21ClN2S	4.0	Prazine;;;Promazine chloride;;;Promazine chloride;;;Promazine Granules;;;Promazine hydrochloride;;;Promazine hydrochloride;;;Promazine hydrochloride;;;Promazine hydrochloride;;;Promazine hydrochloride;;;Protactyl;;;Sparine;;;Tranquazine;;;Verophene
CHEMBL1200470	ESOMEPRAZOLE SODIUM	COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Na+]	C17H18N3NaO3S	4.0	Esomeprazole sodium;;;Esomeprazole sodium;;;Esomeprazole sodium;;;Esomeprazole sodium;;;H199/18 SODIUM;;;Nexium;;;Nexium iv
CHEMBL1200472	QUAZEPAM	Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21	C17H11ClF4N2S	4.0	Doral;;;NSC-309702;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam;;;Quazepam civ;;;SCH 16134;;;SCH-16134
CHEMBL1200473	CYCLOPENTOLATE HYDROCHLORIDE	CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl	C17H26ClNO3	4.0	Akpentolate;;;Ak-pentolate;;;Alnide;;;Cyclogyl;;;Cyclopentolate hydrochloride;;;Cyclopentolate hydrochloride;;;Cyclopentolate hydrochloride;;;Cyclopentolate hydrochloride;;;Cyclopentolate hydrochloride;;;Mydrilate;;;Pentolair
CHEMBL1200474	DEMECLOCYCLINE HYDROCHLORIDE	CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.Cl	C21H22Cl2N2O8	4.0	Declomycin;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demeclocycline hydrochloride;;;Demethylchlortetracycline hydrochloride;;;Ledermycin
CHEMBL1200475	DAUNORUBICIN CITRATE	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)CC(O)(CC(=O)O)C(=O)O	C33H37NO17	4.0	Daunorubicin citrate;;;Daunorubicin citrate;;;Daunoxome
CHEMBL1200477	ALLOPURINOL SODIUM	O=c1[n-]cnc2[nH]ncc12.[Na+]	C5H3N4NaO	4.0	Allopurinol sodium;;;Allopurinol sodium;;;Allopurinol sodium;;;Allopurinol sodium;;;Allopurinol sodium salt;;;Aloprim;;;NSC-108836
CHEMBL1200478	DYCLONINE HYDROCHLORIDE	CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl	C18H28ClNO2	4.0	Dyclocaine;;;Dyclone;;;Dyclonine HCl;;;Dyclonine hydrochloride;;;Dyclonine hydrochloride;;;Dyclonine hydrochloride
CHEMBL1200479	DICYCLOMINE HYDROCHLORIDE	CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl	C19H36ClNO2	4.0	Bentyl;;;Bentyl preservative free;;;Dicyclomine hydrochloride;;;Dicyclomine hydrochloride;;;Dicyclomine hydrochloride;;;Dicyclomine hydrochloride;;;Dicyclomine hydrochloride (preservative free);;;Dicyclomine Hydrochloride (Preservative-Free);;;Dicycloverine hydrochloride;;;Dicycloverine hydrochloride;;;Merbentyl;;;Merbentyl 20
CHEMBL1200480	OCTREOTIDE ACETATE	CC(=O)O.C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O	C51H70N10O12S2	4.0	Bynfezia pen;;;Mycapssa;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate;;;Octreotide acetate (preservative free);;;Octreotide acetate preservative free;;;Sandostatin;;;Sandostatin lar;;;SMS 201-995 AC;;;SMS-201-995 AC;;;SMS-201995-AC
CHEMBL1200482	CEFOPERAZONE SODIUM	CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+]	C25H26N9NaO8S2	4.0	Cefobid;;;Cefobis;;;Cefoperazone sodium;;;Cefoperazone sodium;;;Cefoperazone sodium;;;Cefoperazone sodium;;;Cefoperazone sodium;;;Cefoperazone sodium salt;;;CP-526402;;;CP-52,640-2;;;CP-52640-2;;;T-1551
CHEMBL1200483	PHENMETRAZINE HYDROCHLORIDE	CC1NCCOC1c1ccccc1.Cl	C11H16ClNO	4.0	Phenmetraline hydrochloride;;;Phenmetrazine chloride;;;Phenmetrazine chloride;;;Phenmetrazine hydrochloride;;;Phenmetrazine hydrochloride;;;Phenmetrazine hydrochloride;;;Preludin
CHEMBL1200485	SORAFENIB TOSYLATE	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1	C28H24ClF3N4O6S	4.0	BAY 54-9085;;;BAY-54-9085;;;Nexavar;;;Sorafenib tosilate;;;Sorafenib tosilate;;;Sorafenib tosylate;;;Sorafenib tosylate;;;Sorafenib tosylate;;;Sorafenib tosylate
CHEMBL1200487	ETHACRYNATE SODIUM	C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl.[Na+]	C13H11Cl2NaO4	4.0	Edecrin;;;Ethacrynate sodium;;;Ethacrynate sodium;;;Ethacrynate sodium;;;Ethacrynate sodium;;;Ethacrynate sodium
CHEMBL1200490	CETRORELIX	CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O	C70H92ClN17O14	4.0	Cetrorelix;;;Cetrorelix;;;Cetrorelix;;;Cetrorelix;;;Cetrotide
CHEMBL1200491	EPINASTINE HYDROCHLORIDE	Cl.NC1=NCC2c3ccccc3Cc3ccccc3N12	C16H16ClN3	4.0	DE-114;;;Elestat;;;Epinastine HCl;;;Epinastine hydrochloride;;;Epinastine hydrochloride;;;Epinastine hydrochloride;;;Epinastine hydrochloride;;;Epinastine hydrochloride;;;Epinastine hydrochloride;;;Relestat;;;WAL 801 CL;;;WAL-801CL;;;WAL-802-CL
CHEMBL1200492	NEFAZODONE HYDROCHLORIDE	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1.Cl	C25H33Cl2N5O2	4.0	BMY 13754;;;BMY-13754;;;Dutonin;;;MJ 13,754-1;;;MJ-13754-1;;;Nefazodone hydrochloride;;;Nefazodone hydrochloride;;;Nefazodone hydrochloride;;;Nefazodone hydrochloride;;;Nefazodone hydrochloride;;;Serzone
CHEMBL1200493	NAFTIFINE HYDROCHLORIDE	CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12.Cl	C21H22ClN	4.0	AW 105-843;;;AW-105-843;;;Exoderil;;;NAFT900;;;NAFT-900;;;Naftifine hydrochloride;;;Naftifine hydrochloride;;;Naftifine hydrochloride;;;Naftifine hydrochloride;;;Naftifine hydrochloride;;;Naftifine hydrochloride;;;Naftin
CHEMBL1200494	GUANFACINE HYDROCHLORIDE	Cl.N=C(N)NC(=O)Cc1c(Cl)cccc1Cl	C9H10Cl3N3O	4.0	Akfen;;;BS 100-141;;;BS-100-141;;;Estulic;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Guanfacine hydrochloride;;;Intuniv;;;SPD503;;;Tenex
CHEMBL1200495	HYDROCORTISONE SODIUM SUCCINATE	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+]	C25H33NaO8	4.0	A-hydrocort;;;Hcss;;;Hydrocortisone 21-sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;Hydrocortisone sodium succinate;;;NSC-9152;;;Solu-cortef;;;SOLU-CORTEF
CHEMBL1200497	CYCLIZINE LACTATE	CC(O)C(=O)O.CN1CCN(C(c2ccccc2)c2ccccc2)CC1	C21H28N2O3	4.0	Cyclizine lactate;;;Cyclizine lactate;;;Cyclizine lactate;;;Cyclizine lactate;;;Marezine
CHEMBL1200498	ALATROFLOXACIN MESYLATE	CS(=O)(=O)O.C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21	C27H29F3N6O8S	4.0	Alatrofloxacin;;;Alatrofloxacin mesylate;;;Alatrofloxacin mesylate;;;Alatrofloxacin mesylate;;;CP-116,517 -27;;;CP-116517-27;;;Trovan preservative free
CHEMBL1200500	BECLOMETHASONE DIPROPIONATE	CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C	C28H37ClO7	4.0	Aerobec 100;;;Aerobec 50;;;Aerobec fte 250;;;Asmabec clickhaler;;;Asmabec spacehaler;;;Beclazone 100;;;Beclazone 100 e-breathe;;;Beclazone 200;;;Beclazone 250;;;Beclazone 250 e-breathe;;;Beclazone 50;;;Beclazone 50 e-breathe;;;Becloaqua 50;;;Becloforte;;;Becloforte e-breathe;;;Becloforte integra;;;Becloforte-vm;;;Beclometasone;;;Beclometasone;;;Beclometasone dipropionate;;;Beclometasone dipropionate;;;Beclometasone dipropionate;;;Beclomet diprop;;;Beclomethasone;;;Beclomethasone dipropionate;;;Beclomethasone dipropionate;;;Beclomethasone dipropionate;;;Beclomethasone dipropionate;;;Beclomethasone dipropionate;;;Beclomethasone dipropionate monohydrate;;;Beclomet hayfever;;;Beclomist;;;Beclotaide;;;Beclovent;;;Becodisks;;;Beconase;;;Beconase aq;;;Becotide;;;Becotide 100;;;Becotide 100 e-breathe;;;Becotide 200;;;Becotide 50;;;Becotide 50 e-breathe;;;Clenil modulite;;;Clipper;;;Filair 100;;;Filair 50;;;Filair fte;;;Fostair;;;Fostair nexthaler;;;Nasobec aq;;;Nasobec hayfever;;;Propaderm;;;Propaderm-a;;;Propaderm-c;;;Propaderm fte;;;Pulvinal beclomet;;;Qnasl;;;Qvar 100;;;Qvar 100 e-breathe;;;Qvar 40;;;Qvar 50;;;Qvar 50 e-breathe;;;Qvar 80;;;Qvar redihaler;;;Rino clenil;;;SCH 18020W;;;SCH-18020W;;;SCH 8020W;;;SGX-201;;;SGX-202;;;SGX-203;;;Vancenase;;;Vancenase aq;;;Vancenase pockethaler;;;Vanceril;;;Vanceril double strength;;;Ventide;;;Vivabec;;;Zonivent aquanasal
CHEMBL1200501	GOSERELIN ACETATE	CC(=O)O.CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	C61H88N18O16	4.0	Goserelin acetate;;;Goserelin Acetate;;;Goserelin acetate;;;Goserelin acetate;;;Goserelin acetate;;;Novgos;;;Zoladex;;;Zoladex la
CHEMBL1200503	BROMOCRIPTINE MESYLATE	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O	C33H44BrN5O8S	4.0	Bromocriptine mesilate;;;Bromocriptine mesilate;;;Bromocriptine mesylate;;;Bromocriptine mesylate;;;Bromocriptine mesylate;;;Bromocriptine mesylate;;;Bromocriptine mesylate;;;Bromocriptine methanesulfonate;;;CB-154;;;CB-154 MESYLATE;;;Cycloset;;;Parlodel
CHEMBL1200506	ERYTHROMYCIN LACTOBIONATE	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO	C49H89NO25	4.0	Erythrocin;;;Erythromycin;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate;;;Erythromycin lactobionate
CHEMBL1200507	IODIXANOL	CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I	C35H44I6N6O15	4.0	2-5410-3A;;;2-541O-3A;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Iodixanol;;;Visipaque;;;Visipaque 270;;;Visipaque 320
CHEMBL1200508	IOXAGLATE MEGLUMINE	CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	C31H38I6N6O13	4.0	Ioxaglate meglumine;;;Ioxaglate meglumine;;;Ioxaglate meglumine;;;MP-302;;;MP 302 (MIXT. WITH IOXAGLATE SODIUM)
CHEMBL1200509	HISTRELIN ACETATE	CC(=O)O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1	C68H90N18O14	4.0	Histrelin acetate;;;Histrelin acetate;;;Histrelin acetate;;;Histrelin acetate;;;Supprelin;;;Supprelin la;;;Vantas
CHEMBL1200510	ERYTHROMYCIN STEARATE	CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	C55H103NO15	4.0	Bristamycin;;;Erypar;;;Erythrocin;;;Erythrocin 500;;;Erythrocin acne pack;;;Erythrocin stearate;;;Erythromycin stearate;;;Erythromycin stearate;;;Erythromycin stearate;;;Erythromycin stearate;;;Erythromycin stearate;;;Erythromycin stearate;;;Ethril 250;;;Ethril 500;;;Pfizer-e;;;Wyamycin s
CHEMBL1200511	GONADORELIN ACETATE	CC(=O)O.CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	C57H79N17O15	4.0	ABBOTT-41070;;;Cystorelin;;;Factrel;;;GnRH;;;Gonadorelin acetate;;;Gonadorelin acetate;;;Gonadorelin acetate;;;Gonadorelin acetate;;;Gonadorelin acetate;;;Gonadorelin acetate mixture;;;Gonadorelin diacetate;;;Gonadotropin Releasing Hormone;;;Lh Releasing Factor;;;Luteinizing hormone-releasing factor diacetate tetrahydrate;;;Lutrelef;;;Lutrepulse;;;Lutrepulse kit
CHEMBL1200514	DEMECARIUM BROMIDE	CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-].[Br-]	C32H52Br2N4O4	4.0	Demecarium bromide;;;Demecarium bromide;;;Demecarium bromide;;;Demecarium bromide;;;Demecarium bromide;;;Demekastigmine bromide;;;Humorsol;;;Tosmilen
CHEMBL1200515	DESERPIDINE	COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	C32H38N2O8	4.0	Deserpidine;;;Deserpidine;;;Deserpidine;;;Deserpidine;;;Deserpidine;;;Harmonyl;;;Recanescin
CHEMBL1200516	GONADORELIN HYDROCHLORIDE	CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O.Cl	C55H76ClN17O13	4.0	AY-24031;;;AY-24,031;;;Factrel;;;Gonadorelin hydrochloride;;;Gonadorelin hydrochloride;;;Gonadorelin hydrochloride;;;Gonadorelin hydrochloride;;;Luteinizing hormone-releasing factor dihydrochloride
CHEMBL1200517	DIHYDROERGOTAMINE MESYLATE	CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O	C34H41N5O8S	4.0	D.h.e. 45;;;DHE-45;;;Diergo;;;Dihydergot;;;Dihydroergotamine mesilate;;;Dihydroergotamine mesilate;;;Dihydroergotamine mesilate;;;Dihydroergotamine mesylate;;;Dihydroergotamine mesylate;;;Dihydroergotamine mesylate;;;Dihydroergotamine mesylate;;;Dihydroergotamine mesylate;;;Dihydroergotamine Methanesulfonate;;;Dihydroergotamine methanesulfonate;;;Tonopan
CHEMBL1200521	ALMOTRIPTAN MALATE	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12.O=C(O)CC(O)C(=O)O	C21H31N3O7S	4.0	Almotriptan malate;;;Almotriptan malate;;;Almotriptan malate;;;Almotriptan malate;;;Almotriptan malate;;;Almotriptan maleate;;;Axert;;;LAS-31416;;;LAS 31416 D,L-MALATE ACID;;;LAS-31416 D,L-MALATE ACID;;;LAS-31416-D,L-MALATE-ACID;;;PNU-180638E
CHEMBL1200522	AVOBENZONE	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	C20H22O3	4.0	Avobenzone;;;Avobenzone;;;Avobenzone;;;Avobenzone;;;Avobenzone;;;Avobenzone;;;Butyl methoxydibenzoylmethane;;;Parsol 1789
